                                            1
0    (30.461851171360266, 30.961851171360266)
1    (0.4707765691849349, 0.9707765691849348)
2      (25.05291840702443, 25.55291840702443)
3      (29.93360809492727, 30.43360809492727)
4    (19.764952296462052, 20.264952296462052)
5      (8.710270478987534, 9.210270478987534)
6      (7.772649654172678, 8.272649654172678)
7    (30.165061411321574, 30.665061411321574)
8      (6.427699999859057, 6.927699999859057)
9      (3.453995700271364, 3.953995700271364)
10     (27.38915389963489, 27.88915389963489)
11     (37.96682590426512, 38.46682590426512)
12  (0.10389876672685178, 0.6038987667268518)
13     (20.39823913114552, 20.89823913114552)
14     (32.06192491800069, 32.56192491800069)
15     (24.31836018756847, 24.81836018756847)
16     (28.76082802268221, 29.26082802268221)
17   (11.298794641716025, 11.798794641716025)
18   (36.657525108320954, 37.157525108320954)
19   (28.210729715519843, 28.710729715519843)
20   (21.466882073730204, 21.966882073730204)
21     (5.387674068421524, 5.887674068421524)
22   (14.859820305916118, 15.359820305916118)
23   (26.873327191607235, 27.373327191607235)
24     (17.35079091368572, 17.85079091368572)
25   (17.336245730200044, 17.836245730200044)
26   (24.586372884871302, 25.086372884871302)
27   (20.254325444061635, 20.754325444061635)
28   (25.902500605623683, 26.402500605623683)
29   (23.850852368729463, 24.350852368729463)
30   (31.747811479858086, 32.247811479858086)
31     (20.40320765931148, 20.90320765931148)
32     (36.06258027005923, 36.56258027005923)
33   (12.502708117047309, 13.002708117047309)
34    (3.6109439585196808, 4.110943958519681)
35   (11.539052633747131, 12.039052633747131)
36     (4.272860022525398, 4.772860022525398)
37   (32.751374554168756, 33.251374554168756)
38    (1.5950740954318061, 2.095074095431806)
39   (24.612818311673234, 25.112818311673234)
40   (21.611348322504405, 22.111348322504405)
41   (32.417054913618266, 32.917054913618266)
42     (7.883634861474262, 8.383634861474262)
43     (34.05978672882538, 34.55978672882538)
44     (13.71916054411231, 14.21916054411231)
45   (30.133597788932864, 30.633597788932864)
46   (11.618665656299854, 12.118665656299854)
47     (35.27435810859518, 35.77435810859518)
48   (12.766976198657929, 13.266976198657929)
49     (6.191117976697833, 6.691117976697833)
